"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.9666526755
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.8782012785
"If you don’t stick to your values when they’re being tested, they’re not values” they’re hobbies. Jon Stewart",0.1446694106
The main library at Indiana University sinks over an inch a year. When it was designed engineers failed to take into account the weight of all the books that would occupy the building.,0.3994740456
A kiss stimulates 29 muscles and chemicals that cause relaxation. Women seem to like light and frequent kisses while men like them more strenuous.,0.504242982
The atomic number of zinc is 30.,0.7070125333
Get your winter wardrobe  https://win-150-dollars-now.weebly.com/,0.3796899669
"Pope Francis has been given many extravagant gifts over the years, and one of them was a Harley-Davidson motorcycle. However, rather than keeping it for his own pleasure and adventures, he sold it off and used the money to benefit homeless people.",0.5514705391
"105. How many licks does it take to get to the center of a Tootsie Pop? The world may never know. But on average, a Licking Machine made at Purdue needed 364.",0.1479006742
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.8256828986
Akon is the #1 selling artist for ringtones in the world.,0.6397063643
Arachibutyrophobia is the fear of peanut butter sticking to the roof of the mouth.,0.150174553
"You know you’re getting old when you get that one candle on the cake. It’s like, ‘See if you can blow this out’. Jerry Seinfeld",0.5505351191
"Thank you for trusting us, for showing faith in us, and for letting us know that you will watch our back.",0.8394516441
I always thought the idea of education was to learn to think for yourself. Robin Williams,0.6443319452
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.4059426778
14 Odd Facts About Food,0.7404345784
An elephant can smell water up to 3 miles away.,0.2645202999
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.5825790787
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.5371012955
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.9566343847
"If you could start a charity, what would it be for?",0.4626959614
What do you resent paying for most?,0.5775492257
The first Primark store opened in Dublin in June 1969 under the name Penney’s.,0.1257374147
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.491406572
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.8178732923
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.3826270955
What's the difference between a well dressed man on a unicycle and a poorly dressed man on a bike? Attire!,0.2382373838
hi! This is a small contest for our twitter users. Can you win? https://win-150-dollars-now.weebly.com,0.5582808321
It’s a strange myth that atheists have nothing to live for. It’s the opposite. We have nothing to die for. We have everything to live for. Ricky Gervais,0.4741608579
"221. Rare is true love, true friendship is rarer.",0.7353878233
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.4286595573
"In Ancient Egypt , priests plucked every hair from their bodies, including their eyebrows and eyelashes.",0.2126303698
"On average, PewDiePie receives around 2 million YouTube views on each video after only 24 hours of uploading them.",0.6458108346
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.624407244
"register, retweet and win $1000 https://win-a-fortune-today.weebly.com/ #FreebieFriday",0.3531109686
"20. Go no, next week or next month…but GO!",0.8845509148
Be with someone who has lots of money or a good heart?,0.5419962713
342. “We all start as strangers.” – great Instagram quote for hostels and hotels!,0.5950487957
"Fireflies do not bite or have pincers. Fireflies are harmless, they don’t even carry diseases.",0.2293157412
The name ASOS is an acronym for “As Seen On Screen”.,0.9768303053
"Only primates, humans, and opossums have opposable thumbs. Out of these, the opossum is the only one with no thumbnail.",0.9745136665
98. You cannot spell awesoME without ME.,0.7139436538
Cringe-worthy (but amusing) puns,0.0470019972
Canadian law requires citizens answer a math question when entering sweepstakes. This is done to add some aspect of skill to the contest.,0.4301315407
"In 2017, Adidas sold over 1 million pairs of shoes made from recycled ocean plastic, each pair taking 11 plastic bottles to make.",0.7308173514
128. A reindeer's eyes change color through the seasons. They’re gold during the summer and blue in the winter.,0.4207518003
"Goats were the first animals domesticated by man in 10,000 B.C.",0.4511236906
The weight of a Babybel is 21 grams.,0.3068414473
"The dot that appears over the letter i is called a ""tittle.""",0.9694022821
The collective name for a group of unicorns is called a blessing.,0.0865130534
"Contrary to popular belief, only 45% of the London Underground is actually underground.",0.1312811879
A jellyfish's mouth is also its anus. ,0.1314754629
The cruise liner Queen Elizabeth 2 moves only six inches for each gallon of fuel it burns.,0.5109240775
There are 336 dimples on a regulation golf ball.,0.4394704925
39. Travel is the only thing you buy that makes you richer.,0.8640112693
Cranberry is the only Jell-O flavor that contains real fruit flavoring.,0.2043436465
"Pantheism is belief that God did not create the universe, but rather the universe is God.",0.9010865703
"Have 3 wishes granted, what would they be?",0.603496796
I live on a one-way street that’s also a dead end. I’m not sure how I got there. Steven Wright,0.3311572399
Sane is boring. R.A. Salvatore,0.2636506768
What do prisoners use to call each other? Cell phones!,0.0684316489
87. A group of pugs is called a grumble.,0.7367487898
Square watermelons sell for about $85.,0.9328228636
One out of five people in the world (1.1 billion people) live on less than $1 per day.,0.6182324966
82. Eyes are never quiet.,0.1116481503
